
#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
25,NY,Nayagarh,Nayagarh,"962,215","3,890",247
26,PU,Puri,Puri,"1,697,983","3,051",488
27,RA,Rayagada,Rayagada,"961,959","7,584.7",136
28,SA,Sambalpur,Sambalpur,"1,044,410","6,702",158
29,SO,Subarnapur (Sonepur),Subarnapur,"652,107","2,284",279
30,SU,Sundargarh,Sundargarh,"2,080,664","9,712",214

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AM,Amritsar,Amritsar,"2,490,891","2,673",932
2,BNL,Barnala,Barnala,"596,294","1,423",419
3,BA,Bathinda,Bathinda,"1,388,859","3,355",414
4,FI,Firozpur,Firozpur,"2,026,831","5,334",380
5,FR,Faridkot,Faridkot,"618,008","1,472",424
6,FT,Fatehgarh Sahib,Fatehgarh Sahib,"599,814","1,180",508
7,FA,Fazilka[15],Fazilka,"1,180,483",3113,379
8,GU,Gurdaspur,Gurdaspur,"2,299,026","3,542",649
9,HO,Hoshiarpur,Hoshiarpur,"1,582,793","3,397",466
10,JA,Jalandhar,Jalandhar,"2,181,753","2,625",831
11,KA,Kapurthala,Kapurthala,"817,668","1,646",501
12,LU,Ludhiana,Ludhiana,"3,487,882","3,744",975
13,MA,Mansa,Mansa,"768,808","2,174",350
14,MO,Moga,Moga,"992,289","2,235",444
15,MU,Sri Muktsar Sahib,Sri Muktsar Sahib,"902,702","2,596",348
16,PA,Pathankot,Pathankot,"626,154",929,674
17,PA,Patiala,Patiala,"2,892,282","3,175",596
18,RU,Rupnagar,Rupnagar,"683,349","1,400",488
19,SAS,Sahibzada Ajit Singh Nagar,Mohali,"986,147","1,188",830
20,SA,Sangrur,Sangrur,"1,654,408","3,685",449
21,PB,Shahid Bhagat Singh Nagar,Nawanshahr,"614,362","1,283",479
22,TT,Tarn Taran,Tarn Taran Sahib,"1,120,070","2,414",464

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AJ,Ajmer,Ajmer,"2,584,913","8,481",305
2,AL,Alwar,Alwar,"3,671,999","8,380",438
3,BI,Bikaner,Bikaner,"2,367,745","27,244",78
4,BM,Barmer,Barmer,"2,604,453","28,387",92
5,BN,Banswara,Banswara,"1,798,194","5,037",399
6,BP,Bharatpur,Bharatpur,"2,549,121","5,066",503
7,BR,Baran,Baran,"1,223,921","6,955",175
8,BU,Bundi,Bundi,"1,113,725","5,550",193
9,BW,Bhilwara,Bhilwara,"2,410,459","10,455",230
10,CR,Churu,Churu,"2,041,172","16,830",148
11,CT,Chittorgarh,Chittorgarh,"1,544,392","10,856",193
12,DA,Dausa,Dausa,"1,637,226","3,429",476
13,DH,Dholpur,Dholpur,"1,207,293","3,084",398
14,DU,Dungarpur,Dungarpur,"1,388,906","3,771",368
15,GA,Ganganagar,Ganganagar,"1,969,520","10,990",179
16,HA,Hanumangarh,Hanumangarh,"1,779,650","9,670",184
17,JJ,Jhunjhunu,Jhunjhunu,"2,139,658","5,928",361
18,JL,Jalore,Jalore,"1,830,151","10,640",172
19,JO,Jodhpur,Jodhpur,"3,685,681","22,850",161
20,JP,Jaipur,Jaipur,"6,663,971","11,152",598
21,JS,Jaisalmer,Jaisalmer,"672,008","38,401",17
22,JW,Jhalawar,Jhalawar,"1,411,327","6,219",227
23,KA,Karauli,Karauli,"1,458,459","5,530",264
24,KO,Kota,Kota,"1,950,491","5,446",374
25,NA,Nagaur,Nagaur,"3,309,234","17,718",187
26,PA,Pali,Pali,"2,038,533","12,387",165
27,PG,Pratapgarh,Pratapgarh,"868,231","4,112",211
28,RA,Rajsamand,Rajsamand,"1,158,283","3,853",302
29,SK,Sikar,Sikar,"2,677,737","7,732",346
30,SM,Sawai Madhopur,Sawai Madhopur,"1,338,114","4,500",257
31,SR,Sirohi,Sirohi,"1,037,185","5,136",202
32,TO,Tonk,Tonk,"1,421,711","7,194",198
33,UD,Udaipur,Udaipur,"3,067,549","13,430",242

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,ES,East Sikkim,Gangtok,"281,293",954,295
2,NS,North Sikkim,Mangan,"43,354","4,226",10
3,SS,South Sikkim,Namchi,"146,742",750,196
4,WS,West Sikkim,Geyzing,"136,299","1,166",117

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AY,Ariyalur,Ariyalur,"752,481","3,208",387
2,CGL,Chengalpattu,Chengalpattu,"2,556,244","2,945",868
3,CH,Chennai,Chennai,"7,100,000",426,"17,000"
4,CO,Coimbatore,Coimbatore,"3,472,578","7,469",748
5,CU,Cuddalore,Cuddalore,"2,600,880","3,999",702
6,DH,Dharmapuri,Dharmapuri,"1,502,900","4,532",332
7,DGL,Dindigul,Dindigul,"2,161,367","6,058",357
8,ER,Erode,Erode,"2,259,608","5,714",397
9,KL,Kallakurichi,Kallakurichi,"1,370,281","3,520",389
10,KC,Kanchipuram,Kanchipuram,"1,166,401","1,656",704
11,KK,Kanyakumari,Nagercoil,"1,863,178","1,685","1,106"
12,KA,Karur,Karur,"1,076,588","2,901",371
13,KR,Krishnagiri,Krishnagiri,"1,883,731","5,086",370
14,MDU,Madurai,Madurai,"3,991,038","3,676",823
15,–,Mayiladuthurai,Mayiladuthurai,"918,356","1,172",784
16,NG,Nagapattinam,Nagapattinam,"1,614,069","2,716",668
17,NI,Nilgiris,Ooty,"735,071","2,549",288
18,NM,Namakkal,Namakkal,"1,721,179","3,429",506
19,PE,Perambalur,Perambalur,"564,511","1,752",323
20,PU,Pudukkottai,Pudukkottai,"1,918,725","4,651",348
21,RA,Ramanathapuram,Ramanathapuram,"1,337,560","4,123",320
22,RN,Ranipet,Ranipet,"1,210,277","2,234",524
23,SA,Salem,Salem,"3,480,008","5,245",663
24,SI,Sivaganga,Sivaganga,"1,341,250","4,086",324
25,TS,Tenkasi,Tenkasi,"14,07,627",2916,483
26,TP,Tirupur,Tirupur,"2,471,222","5,106",476
27,TC,Tiruchirappalli,Tiruchirappalli,"2,713,858","4,407",602
28,TH,Theni,Theni,"1,243,684","3,066",433
29,TI,Tirunelveli,Tirunelveli,"1,665,253","3,842",433
30,TJ,Thanjavur,Thanjavur,"2,402,781","3,397",691
31,TK,Thoothukudi,Thoothukudi,"1,738,376","4,594",378
32,TP,Tirupattur,Tirupattur,"1,111,812","1,792",620
33,TL,Tiruvallur,Tiruvallur,"3,725,697","3,424","1,049"
34,TR,Tiruvarur,Tiruvarur,"1,268,094","2,377",533
35,TV,Tiruvannamalai,Tiruvannaamalai,"2,468,965","6,191",399
36,VE,Vellore,Vellore,"1,614,242","2,080",776
37,VL,Viluppuram,Viluppuram,"2,093,003","3,725",562
38,VR,Virudhunagar,Virudhunagar,"1,943,309","3,446",454

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AD,Adilabad,Adilabad,"708,952","4,185.97",171
2,–,Komaram Bheem,Asifabad,"515,835","4,300.16",106
3,–,Bhadradri Kothagudem,Kothagudem,"1,304,811","8,951.00",143
4,HY,Hyderabad,Hyderabad,"3,441,992","4,325.29","18,172"
5,–,Jagtial,Jagtial,"983,414","3,043.23",407
6,–,Jangaon,Jangaon,"582,457","2,187.50",259
7,–,Jayashankar Bhupalpally,Bhupalpalle,"712,257","6,361.70",115
8,–,Jogulamba Gadwal,Gadwal,"664,971","2,928.00",208
9,–,Kamareddy,Kamareddy,"972,625","3,651.00",266
10,KA,Karimnagar,Karimnagar,"1,016,063","2,379.07",473
11,KH,Khammam,Khammam,"1,401,639","4,453.00",321
12,–,Mahabubabad,Mahabubabad,"770,170","2,876.70",269
13,MA,Mahbubnagar,Mahbubnagar,"1,318,110","4,037.00",281
14,–,Mancherial,Mancherial,"807,037","4,056.36",201
15,ME,Medak,Medak,"767,428","2,740.89",275
16,–,Medchal-Malkajgiri,Shamirpet,"2,542,203","5,005.98","2,251"
17,–,Mulugu,Mulugu,"2,94,671","3,881",124
18,NA,Nalgonda,Nalgonda,"1,631,399","2,449.79",227
19,–,Narayanpet,Narayanpet,"5,66,874",2336.44,243
20,–,Nagarkurnool,Nagarkurnool,"893,308","6,545.00",124
21,–,Nirmal,Nirmal,"709,415","3,562.51",185
22,NI,Nizamabad,Nizamabad,"1,534,428","4,153.00",366
23,–,Peddapalli,Peddapalle,"795,332","4,614.74",356
24,–,Rajanna Sircilla,Sircilla,"546,121","2,030.89",273
25,RA,Ranga Reddy,Shamshabad,"2,551,731","1,038.00",486
26,–,Sangareddy,Sangareddy,"1,527,628","4,464.87",347
27,–,Siddipet,Siddipet,"993,376","3,425.19",279
28,–,Suryapet,Suryapet,"1,099,560","3,374.47",305
29,–,Vikarabad,Vikarabad,"881,250","3,385.00",274
30,–,Wanaparthy,Wanaparthy,"751,553","2,938.00",268
31,WL,Warangal Urban,Warangal,"1,135,707","1,304.50",826
32,–,Warangal Rural,Warangal,"716,457","2,175.50",330
33,–,Yadadri Bhuvanagiri,Bhongiri,"726,465","3,091.48",239

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,DH,Dhalai,Ambassa,"377,988","2,400",157
2,GM,Gomati,"Udaipur, Tripura","436,868",1522.8,287
3,KH,Khowai[16],Khowai,"327,391",1005.67,326
4,NT,North Tripura,Dharmanagar,"415,946",1444.5,288
5,SP,Sepahijala[17],Bishramganj,"484,233",1044.78,463
6,ST,South Tripura,Belonia,"433,737",1534.2,283
7,UK,Unokoti[18],Kailashahar,"277,335",591.93,469
8,WT,West Tripura,Agartala,"917,534",942.55,973

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AG,Agra,Agra,"4,380,793","4,027","1,084"
2,AL,Aligarh,Aligarh,"3,673,849","3,747","1,007"
3,AH,Allahabad,Allahabad,"5,959,798","5,481","1,087"
4,AN,Ambedkar Nagar,Akbarpur,"2,398,709","2,372","1,021"
5,AM,Amethi,Gauriganj,"2,549,935","3,063",830
6,JP,Amroha,Amroha,"1,838,771","2,321",818
7,AU,Auraiya,Auraiya,"1,372,287","2,051",681
8,AZ,Azamgarh,Azamgarh,"4,616,509","4,053","1,139"
9,BG,Bagpat,Baghpat,"1,302,156","1,345",986
10,BH,Bahraich,Bahraich,"2,384,239","4,926",415
11,BL,Ballia,Ballia,"3,223,642","2,981","1,081"
12,BP,Balrampur,Balrampur,"2,149,066","3,349",642
13,BN,Banda,Banda,"1,799,541","4,413",404
14,BB,Barabanki,Barabanki,"3,257,983","3,825",739
15,BR,Bareilly,Bareilly,"4,465,344","4,120","1,084"
16,BS,Basti,Basti,"2,461,056","2,687",916
17,BH,Bhadohi,Gyanpur,"1,554,203",960,"1,531"
18,BI,Bijnor,Bijnor,"3,683,896","4,561",808
19,BD,Budaun,Budaun,"3,712,738","5,168",718
20,BU,Bulandshahr,Bulandshahr,"3,498,507","3,719",788
21,CD,Chandauli,Chandauli,"1,952,713","2,554",768
22,CT,Chitrakoot,Karwi,"990,626","3,202",315
23,DE,Deoria,Deoria,"3,098,637","2,535","1,220"
24,ET,Etah,Etah,"1,761,152","2,456",717
25,EW,Etawah,Etawah,"1,579,160","2,287",683
26,FZ,Faizabad,Faizabad,"2,468,371","2,765","1,054"
27,FR,Farrukhabad,Fatehgarh,"1,887,577","2,279",865
28,FT,Fatehpur,Fatehpur,"2,632,684","4,152",634
29,FI,Firozabad,Firozabad,"2,496,761","2,361","1,044"
30,GB,Gautam Buddh Nagar,Noida,"1,674,714","1,269","1,252"
31,GZ,Ghaziabad,Ghaziabad,"4,661,452","1,175","3,967"
32,GP,Ghazipur,Ghazipur,"3,622,727","3,377","1,072"
33,GN,Gonda,Gonda,"3,431,386","4,425",857
34,GR,Gorakhpur,Gorakhpur,"4,436,275","3,325","1,336"
35,HM,Hamirpur,Hamirpur,"1,104,021","4,325",268
36,PN,Hapur,Hapur,"1,338,211",660,"2,028"
37,HR,Hardoi,Hardoi,"4,091,380","5,986",683
38,HT,Hathras,Hathras,"1,565,678","1,752",851
39,JL,Jalaun,Orai,"1,670,718","4,565",366
40,JU,Jaunpur,Jaunpur,"4,476,072","4,038","1,108"
41,JH,Jhansi,Jhansi,"2,000,755","5,024",398
42,KJ,Kannauj,Kannauj,"1,658,005","1,993",792
43,KD,Kanpur Dehat,Akbarpur,"1,795,092","3,021",594
44,KN,Kanpur Nagar,Kanpur,"4,572,951","3,156","1,415"
45,KR,Kasganj,Kasganj,"1,438,156","1,955",736
46,KS,Kaushambi,Manjhanpur,"1,596,909","1,837",897
47,KU,Kushinagar,Padrauna,"3,560,830","2,909","1,226"
48,LK,Lakhimpur Kheri,Lakhimpur,"4,013,634","7,674",523
49,LA,Lalitpur,Lalitpur,"1,218,002","5,039",242
50,LU,Lucknow,Lucknow,"4,588,455","2,528","1,815"
51,MG,Maharajganj,Maharajganj,"2,665,292","2,953",903
52,MH,Mahoba,Mahoba,"876,055","2,847",288
53,MP,Mainpuri,Mainpuri,"1,847,194","2,760",670
54,MT,Mathura,Mathura,"2,541,894","3,333",761
55,MB,Mau,Mau,"2,205,170","1,713","1,287"
56,ME,Meerut,Meerut,"3,447,405","2,522","1,342"
57,MI,Mirzapur,Mirzapur,"2,494,533","4,522",561
58,MO,Moradabad,Moradabad,"4,773,138","3,718","1,284"
59,MU,Muzaffarnagar,Muzaffarnagar,"4,138,605","4,008","1,033"
60,PI,Pilibhit,Pilibhit,"2,037,225","3,499",567
61,PR,Pratapgarh,Pratapgarh,"3,173,752","3,717",854
62,RB,Raebareli,Raebareli,"3,404,004","4,609",739
63,RA,Rampur,Rampur,"2,335,398","2,367",987
64,SA,Saharanpur,Saharanpur,"3,464,228","3,689",939
65,SM,Sambhal,Sambhal,"2,217,020",2453,890
66,SK,Sant Kabir Nagar,Khalilabad,"1,714,300","1,442","1,014"
67,SJ,Shahjahanpur,Shahjahanpur,"3,002,376","4,575",673
68,SH,Shamli[19],Shamli,"1,274,815","1,063","1,200"
69,SV,Shravasti,Shravasti,"1,114,615","1,948",572
70,SN,Siddharthnagar,Naugarh,"2,553,526","2,751",882
71,SI,Sitapur,Sitapur,"4,474,446","5,743",779
72,SO,Sonbhadra,Robertsganj,"1,862,612","6,788",274
73,SU,Sultanpur,Sultanpur,"3,790,922","4,436",855
74,UN,Unnao,Unnao,"3,110,595","4,561",682
75,VA,Varanasi,Varanasi,"3,682,194","1,535","2,399"

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AL,Almora,Almora,"621,927","3,090",198
2,BA,Bageshwar,Bageshwar,"259,840","2,310",116
3,CL,Chamoli,Gopeshwar,"391,114","7,692",49
4,CP,Champawat,Champawat,"259,315","1,781",147
5,DD,Dehradun,Dehradun,"1,698,560","3,088",550
6,HA,Haridwar,Haridwar,"1,927,029","2,360",817
7,NA,Nainital,Nainital,"955,128","3,853",225
8,PG,Pauri Garhwal,Pauri,"686,527","5,438",129
9,PI,Pithoragarh,Pithoragarh,"485,993","7,110",69
10,RP,Rudraprayag,Rudraprayag,"236,857","1,896",119
11,TG,Tehri Garhwal,New Tehri,"616,409","4,085",169
12,US,Udham Singh Nagar,Rudrapur,"1,648,367","2,912",648
13,UT,Uttarkashi,Uttarkashi,"329,686","7,951",41

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AD,Alipurduar,Alipurduar,"1,700,000","3,383",400
2,BN,Bankura,Bankura,"3,596,292","6,882",523
3,BR,Paschim Bardhaman,Asansol,"2,882,031","1,603","1,100"
4,BR,Purba Bardhaman,Bardhaman,"4,835,532","5,433",890
5,BI,Birbhum,Suri,"3,502,387","4,545",771
6,KB,Cooch Behar,Cooch Behar,"2,822,780","3,387",833
7,DD,Dakshin Dinajpur,Balurghat,"1,670,931","2,183",753
8,DA,Darjeeling,Darjeeling,"1,842,034","3,149",585
9,HG,Hooghly,Chinsurah,"5,520,389","3,149","1,753"
10,HR,Howrah,Howrah,"4,841,638","1,467","3,300"
11,JA,Jalpaiguri,Jalpaiguri,"3,869,675","6,227",621
12,JH,Jhargram,Jhargram,"1,136,548","3,038",370
13,KA,Kalimpong,Kalimpong,"251,642","1,054",239
14,KO,Kolkata,Kolkata,"4,486,679",206.08,"24,252"
15,MA,Maldah,English Bazar,"3,997,970","3,733","1,071"
16,MSD,Murshidabad,Baharampur,"7,102,430","5,324","1,334"
17,NA,Nadia,Krishnanagar,"5,168,488","3,927","1,316"
18,PN,North 24 Parganas,Barasat,"10,082,852","4,094","2,463"
19,PM,Paschim Medinipur,Midnapore,"5,094,238","9,345","1,076"
20,PR,Purba Medinipur,Tamluk,"4,417,377","4,736",923
21,PU,Purulia,Purulia,"2,927,965","6,259",468
22,PS,South 24 Parganas,Alipore,"8,153,176","9,960",819
23,UD,Uttar Dinajpur,Raiganj,"3,000,849","3,180",956

#,Code[5],District[6],Headquarters,Population (2011)[20],Area (km²)[21],Density (/km²)[6][22]
1,NI,Nicobar,Car Nicobar,"36,842","1,841",20
2,NA,North and Middle Andaman,Mayabunder,"105,597","3,736",28
3,SA,South Andaman,Port Blair,"238,142","2,672",89

#,Code[5],District,Headquarters,Population (2011)[6][23],Area (km²)[24],Density (/km²)[6][25]
1,CH,Chandigarh,Chandigarh,"1,055,450",114,"9,258"

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,DA,Daman,Daman,"191,173[26]",72[27],"2,651"
2,DI,Diu,Diu,"52,074[28]",39[29],"2,058"
3,DN,Dadra and Nagar Haveli,Silvassa,"343,709",491,700

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,AN,Anantnag,Anantnag,"1,070,144",2853,375
2,BD,Badgam,Badgam,"735,753",1406,537
3,BPR,Bandipora,Bandipore,"385,099","3,010",128
4,BR,Baramulla,Baramulla,"1,015,503",3329,305
5,DO,Doda,Doda,"409,576","2,625",79
6,GB,Ganderbal,Ganderbal,"297,003",1979,"1,151"
7,JA,Jammu,Jammu,"1,526,406","3,097",596
8,KT,Kathua,Kathua,"615,711","2,651",232
9,KW,Kishtwar,Kishtwar,"230,696","7,737",30
10,KG,Kulgam,Kulgam,"422,786",457,925
11,KU,Kupwara,Kupwara,"875,564","2,379",368
12,PO,Poonch,Poonch,"476,820","1,674",285
13,PU,Pulwama,Pulwama,"570,060","1,398",598
14,RA,Rajouri,Rajouri,"619,266","2,630",235
15,RB,Ramban,Ramban,"283,313","1,330",213
16,RS,Reasi,Reasi,"314,714",1710,184
17,SB,Samba,Samba,"318,611",913,318
18,SH,Shopian,Shupiyan,"265,960",312,852
19,SR,Srinagar,Srinagar,"1,269,751","2,228",703
20,UD,Udhampur,Udhampur,"555,357","4,550",211

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,KR,Kargil,Kargil,"143,388","14,036",10
2,LE,Leh,Leh,"147,104","45,110",3

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,LD,Lakshadweep,Kavaratti,"64,473[30]",30[31],"2,149[32]"

#,Code[5],District[6],Headquarters,Population (2011)[33],Area (km²)[citation needed],Density (/km²)[6][34]
1,CD,Central Delhi,Daryaganj,"582,320",25,"27,730"
2,ED,East Delhi,Preet Vihar,"1,709,346",440,"27,132"
3,ND,New Delhi,Connaught Place,"142,004",22,"4,057"
4,NO,North Delhi,Sadar Bazaar,"887,978",59,"14,557"
5,NE,North East Delhi,Seelampur,"2,241,624",52,"36,155"
6,NW,North West Delhi,Kanjhawala,"3,656,539",130,"8,254"
7,–,Shahdara,Shahdara,–,59.75,–
8,SD,South Delhi,Saket,"2,731,929",250,"11,060"
9,–,South East Delhi,Defence Colony,–,–,–
10,SW,South West Delhi,Vasant Vihar,"2,292,958",395,"5,446"
11,WD,West Delhi,Rajouri Garden,"2,543,243",112,"19,563"

#,Code[5],District[6],Headquarters,Population (2011),Area (km²),Density (/km²)[6]
1,KA,Karaikal,Karaikal,"200,222[35]",157[36],"1,275[37]"
2,MA,Mahé,Mahé,"41,816[38]",9[39],"4,646[38]"
3,PO,Puducherry,Pondicherry,"950,289[40]",293[41],"3,232[42]"
4,YA,Yanam,Yanam,"55,626[43]",30[44],"1,854[43]"
